category,name,city,tags
奶茶,Boba Guys,Cupertino,bubble-tea
奶茶,Tpumps,Cupertino,bubble-tea
奶茶,Sharetea,Cupertino,bubble-tea
奶茶,Happy Lemon,Cupertino,bubble-tea
奶茶,Tea Era,Cupertino,bubble-tea
奶茶,Tea Top,Cupertino,bubble-tea
奶茶,One Zo,Cupertino,bubble-tea
奶茶,Meet Fresh,Cupertino,bubble-tea
奶茶,85C Bakery Cafe,Cupertino,bubble-tea
奶茶,CoCo Fresh Tea & Juice,Cupertino,bubble-tea
奶茶,Tiger Sugar,Cupertino,bubble-tea
奶茶,The Alley,Cupertino,bubble-tea
奶茶,Tea Station,Cupertino,bubble-tea
奶茶,Tea Fever,Cupertino,bubble-tea
奶茶,Tea Lyfe,Cupertino,bubble-tea
奶茶,Boba Guys,Sunnyvale,bubble-tea
奶茶,Tpumps,Sunnyvale,bubble-tea
奶茶,Sharetea,Sunnyvale,bubble-tea
奶茶,Happy Lemon,Sunnyvale,bubble-tea
奶茶,Tea Era,Sunnyvale,bubble-tea
奶茶,Tea Top,Sunnyvale,bubble-tea
奶茶,One Zo,Sunnyvale,bubble-tea
奶茶,Meet Fresh,Sunnyvale,bubble-tea
奶茶,85C Bakery Cafe,Sunnyvale,bubble-tea
奶茶,CoCo Fresh Tea & Juice,Sunnyvale,bubble-tea
奶茶,Tiger Sugar,Sunnyvale,bubble-tea
奶茶,The Alley,Sunnyvale,bubble-tea
奶茶,Tea Station,Sunnyvale,bubble-tea
奶茶,Tea Fever,Sunnyvale,bubble-tea
奶茶,Tea Lyfe,Sunnyvale,bubble-tea
奶茶,Boba Guys,San Jose,bubble-tea
奶茶,Tpumps,San Jose,bubble-tea
奶茶,Sharetea,San Jose,bubble-tea
奶茶,Happy Lemon,San Jose,bubble-tea
奶茶,Tea Era,San Jose,bubble-tea
奶茶,Tea Top,San Jose,bubble-tea
奶茶,One Zo,San Jose,bubble-tea
奶茶,Meet Fresh,San Jose,bubble-tea
奶茶,85C Bakery Cafe,San Jose,bubble-tea
奶茶,CoCo Fresh Tea & Juice,San Jose,bubble-tea
奶茶,Tiger Sugar,San Jose,bubble-tea
奶茶,The Alley,San Jose,bubble-tea
奶茶,Tea Station,San Jose,bubble-tea
奶茶,Tea Fever,San Jose,bubble-tea
奶茶,Tea Lyfe,San Jose,bubble-tea
奶茶,Boba Guys,Milpitas,bubble-tea
奶茶,Tpumps,Milpitas,bubble-tea
奶茶,Sharetea,Milpitas,bubble-tea
奶茶,Happy Lemon,Milpitas,bubble-tea
奶茶,Tea Era,Milpitas,bubble-tea
奶茶,Tea Top,Milpitas,bubble-tea
奶茶,One Zo,Milpitas,bubble-tea
奶茶,Meet Fresh,Milpitas,bubble-tea
奶茶,85C Bakery Cafe,Milpitas,bubble-tea
奶茶,CoCo Fresh Tea & Juice,Milpitas,bubble-tea
奶茶,Tiger Sugar,Milpitas,bubble-tea
奶茶,The Alley,Milpitas,bubble-tea
奶茶,Tea Station,Milpitas,bubble-tea
奶茶,Tea Fever,Milpitas,bubble-tea
奶茶,Tea Lyfe,Milpitas,bubble-tea
奶茶,Boba Guys,Santa Clara,bubble-tea
奶茶,Tpumps,Santa Clara,bubble-tea
奶茶,Sharetea,Santa Clara,bubble-tea
奶茶,Happy Lemon,Santa Clara,bubble-tea
奶茶,Tea Era,Santa Clara,bubble-tea
奶茶,Tea Top,Santa Clara,bubble-tea
奶茶,One Zo,Santa Clara,bubble-tea
奶茶,Meet Fresh,Santa Clara,bubble-tea
奶茶,85C Bakery Cafe,Santa Clara,bubble-tea
奶茶,CoCo Fresh Tea & Juice,Santa Clara,bubble-tea
奶茶,Tiger Sugar,Santa Clara,bubble-tea
奶茶,The Alley,Santa Clara,bubble-tea
奶茶,Tea Station,Santa Clara,bubble-tea
奶茶,Tea Fever,Santa Clara,bubble-tea
奶茶,Tea Lyfe,Santa Clara,bubble-tea
奶茶,Boba Guys,Mountain View,bubble-tea
奶茶,Tpumps,Mountain View,bubble-tea
奶茶,Sharetea,Mountain View,bubble-tea
奶茶,Happy Lemon,Mountain View,bubble-tea
奶茶,Tea Era,Mountain View,bubble-tea
