category,name,city,tags
中餐,Hunan Impression,Cupertino,chinese
中餐,Szechuan Impression,Cupertino,chinese
中餐,Dumpling Time,Cupertino,chinese
中餐,Chef Chu's,Cupertino,chinese
中餐,Beijing Restaurant,Cupertino,chinese
中餐,Hankow Cuisine,Cupertino,chinese
中餐,Szechuan Garden,Cupertino,chinese
中餐,Chef Li,Cupertino,chinese
中餐,Golden Wok,Cupertino,chinese
中餐,New China,Cupertino,chinese
中餐,Spicy Hunan,Cupertino,chinese
中餐,Shanghai Garden,Cupertino,chinese
中餐,Peking Duck,Cupertino,chinese
中餐,Great Wall,Cupertino,chinese
中餐,Golden Dragon,Cupertino,chinese
中餐,Hunan Impression,Sunnyvale,chinese
中餐,Szechuan Impression,Sunnyvale,chinese
中餐,Dumpling Time,Sunnyvale,chinese
中餐,Chef Chu's,Sunnyvale,chinese
中餐,Beijing Restaurant,Sunnyvale,chinese
中餐,Hankow Cuisine,Sunnyvale,chinese
中餐,Szechuan Garden,Sunnyvale,chinese
中餐,Chef Li,Sunnyvale,chinese
中餐,Golden Wok,Sunnyvale,chinese
中餐,New China,Sunnyvale,chinese
中餐,Spicy Hunan,Sunnyvale,chinese
中餐,Shanghai Garden,Sunnyvale,chinese
中餐,Peking Duck,Sunnyvale,chinese
中餐,Great Wall,Sunnyvale,chinese
中餐,Golden Dragon,Sunnyvale,chinese
中餐,Hunan Impression,San Jose,chinese
中餐,Szechuan Impression,San Jose,chinese
中餐,Dumpling Time,San Jose,chinese
中餐,Chef Chu's,San Jose,chinese
中餐,Beijing Restaurant,San Jose,chinese
中餐,Hankow Cuisine,San Jose,chinese
中餐,Szechuan Garden,San Jose,chinese
中餐,Chef Li,San Jose,chinese
中餐,Golden Wok,San Jose,chinese
中餐,New China,San Jose,chinese
中餐,Spicy Hunan,San Jose,chinese
中餐,Shanghai Garden,San Jose,chinese
中餐,Peking Duck,San Jose,chinese
中餐,Great Wall,San Jose,chinese
中餐,Golden Dragon,San Jose,chinese
中餐,Hunan Impression,Milpitas,chinese
中餐,Szechuan Impression,Milpitas,chinese
中餐,Dumpling Time,Milpitas,chinese
中餐,Chef Chu's,Milpitas,chinese
中餐,Beijing Restaurant,Milpitas,chinese
中餐,Hankow Cuisine,Milpitas,chinese
中餐,Szechuan Garden,Milpitas,chinese
中餐,Chef Li,Milpitas,chinese
中餐,Golden Wok,Milpitas,chinese
中餐,New China,Milpitas,chinese
中餐,Spicy Hunan,Milpitas,chinese
中餐,Shanghai Garden,Milpitas,chinese
中餐,Peking Duck,Milpitas,chinese
中餐,Great Wall,Milpitas,chinese
中餐,Golden Dragon,Milpitas,chinese
中餐,Hunan Impression,Santa Clara,chinese
中餐,Szechuan Impression,Santa Clara,chinese
中餐,Dumpling Time,Santa Clara,chinese
中餐,Chef Chu's,Santa Clara,chinese
中餐,Beijing Restaurant,Santa Clara,chinese
中餐,Hankow Cuisine,Santa Clara,chinese
中餐,Szechuan Garden,Santa Clara,chinese
中餐,Chef Li,Santa Clara,chinese
中餐,Golden Wok,Santa Clara,chinese
中餐,New China,Santa Clara,chinese
中餐,Spicy Hunan,Santa Clara,chinese
中餐,Shanghai Garden,Santa Clara,chinese
中餐,Peking Duck,Santa Clara,chinese
中餐,Great Wall,Santa Clara,chinese
中餐,Golden Dragon,Santa Clara,chinese
中餐,Hunan Impression,Mountain View,chinese
中餐,Szechuan Impression,Mountain View,chinese
中餐,Dumpling Time,Mountain View,chinese
中餐,Chef Chu's,Mountain View,chinese
中餐,Beijing Restaurant,Mountain View,chinese
