category,name,city,tags
新店打卡,Hunan Impression,Cupertino,new-ish trendy
新店打卡,Szechuan Impression,Cupertino,new-ish trendy
新店打卡,Dumpling Time,Cupertino,new-ish trendy
新店打卡,Boba Guys,Cupertino,new-ish trendy
新店打卡,Tpumps,Cupertino,new-ish trendy
新店打卡,Boiling Point,Cupertino,new-ish trendy
新店打卡,Shabu Shabu,Cupertino,new-ish trendy
新店打卡,Meet Fresh,Cupertino,new-ish trendy
新店打卡,One Zo,Cupertino,new-ish trendy
新店打卡,Tea Top,Cupertino,new-ish trendy
新店打卡,Tiger Sugar,Cupertino,new-ish trendy
新店打卡,The Alley,Cupertino,new-ish trendy
新店打卡,Spicy Hunan,Cupertino,new-ish trendy
新店打卡,Shanghai Garden,Cupertino,new-ish trendy
新店打卡,Peking Duck,Cupertino,new-ish trendy
新店打卡,Hunan Impression,Sunnyvale,new-ish trendy
新店打卡,Szechuan Impression,Sunnyvale,new-ish trendy
新店打卡,Dumpling Time,Sunnyvale,new-ish trendy
新店打卡,Boba Guys,Sunnyvale,new-ish trendy
新店打卡,Tpumps,Sunnyvale,new-ish trendy
新店打卡,Boiling Point,Sunnyvale,new-ish trendy
新店打卡,Shabu Shabu,Sunnyvale,new-ish trendy
新店打卡,Meet Fresh,Sunnyvale,new-ish trendy
新店打卡,One Zo,Sunnyvale,new-ish trendy
新店打卡,Tea Top,Sunnyvale,new-ish trendy
新店打卡,Tiger Sugar,Sunnyvale,new-ish trendy
新店打卡,The Alley,Sunnyvale,new-ish trendy
新店打卡,Spicy Hunan,Sunnyvale,new-ish trendy
新店打卡,Shanghai Garden,Sunnyvale,new-ish trendy
新店打卡,Peking Duck,Sunnyvale,new-ish trendy
新店打卡,Hunan Impression,San Jose,new-ish trendy
新店打卡,Szechuan Impression,San Jose,new-ish trendy
新店打卡,Dumpling Time,San Jose,new-ish trendy
新店打卡,Boba Guys,San Jose,new-ish trendy
新店打卡,Tpumps,San Jose,new-ish trendy
新店打卡,Boiling Point,San Jose,new-ish trendy
新店打卡,Shabu Shabu,San Jose,new-ish trendy
新店打卡,Meet Fresh,San Jose,new-ish trendy
新店打卡,One Zo,San Jose,new-ish trendy
新店打卡,Tea Top,San Jose,new-ish trendy
新店打卡,Tiger Sugar,San Jose,new-ish trendy
新店打卡,The Alley,San Jose,new-ish trendy
新店打卡,Spicy Hunan,San Jose,new-ish trendy
新店打卡,Shanghai Garden,San Jose,new-ish trendy
新店打卡,Peking Duck,San Jose,new-ish trendy
新店打卡,Hunan Impression,Milpitas,new-ish trendy
新店打卡,Szechuan Impression,Milpitas,new-ish trendy
新店打卡,Dumpling Time,Milpitas,new-ish trendy
新店打卡,Boba Guys,Milpitas,new-ish trendy
新店打卡,Tpumps,Milpitas,new-ish trendy
新店打卡,Boiling Point,Milpitas,new-ish trendy
新店打卡,Shabu Shabu,Milpitas,new-ish trendy
新店打卡,Meet Fresh,Milpitas,new-ish trendy
新店打卡,One Zo,Milpitas,new-ish trendy
新店打卡,Tea Top,Milpitas,new-ish trendy
新店打卡,Tiger Sugar,Milpitas,new-ish trendy
新店打卡,The Alley,Milpitas,new-ish trendy
新店打卡,Spicy Hunan,Milpitas,new-ish trendy
新店打卡,Shanghai Garden,Milpitas,new-ish trendy
新店打卡,Peking Duck,Milpitas,new-ish trendy
新店打卡,Hunan Impression,Santa Clara,new-ish trendy
新店打卡,Szechuan Impression,Santa Clara,new-ish trendy
新店打卡,Dumpling Time,Santa Clara,new-ish trendy
新店打卡,Boba Guys,Santa Clara,new-ish trendy
新店打卡,Tpumps,Santa Clara,new-ish trendy
新店打卡,Boiling Point,Santa Clara,new-ish trendy
新店打卡,Shabu Shabu,Santa Clara,new-ish trendy
新店打卡,Meet Fresh,Santa Clara,new-ish trendy
新店打卡,One Zo,Santa Clara,new-ish trendy
新店打卡,Tea Top,Santa Clara,new-ish trendy
新店打卡,Tiger Sugar,Santa Clara,new-ish trendy
新店打卡,The Alley,Santa Clara,new-ish trendy
新店打卡,Spicy Hunan,Santa Clara,new-ish trendy
新店打卡,Shanghai Garden,Santa Clara,new-ish trendy
新店打卡,Peking Duck,Santa Clara,new-ish trendy
新店打卡,Hunan Impression,Mountain View,new-ish trendy
新店打卡,Szechuan Impression,Mountain View,new-ish trendy
新店打卡,Dumpling Time,Mountain View,new-ish trendy
新店打卡,Boba Guys,Mountain View,new-ish trendy
新店打卡,Tpumps,Mountain View,new-ish trendy
新店打卡,Boiling Point,Mountain View,new-ish trendy
新店打卡,Shabu Shabu,Mountain View,new-ish trendy
新店打卡,Meet Fresh,Mountain View,new-ish trendy
新店打卡,One Zo,Mountain View,new-ish trendy
新店打卡,Tea Top,Mountain View,new-ish trendy
