name,city,chosenPlaceName,chosenAddress,googleMapsUri,enrichStatus,enrichNote
"New Port Dim Sum and Chinese Food","Cupertino","","","https://maps.google.com/?cid=2991279223560585033&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"QQ Noodle","Cupertino","","","https://maps.google.com/?cid=2491442905261178595&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Hunan Impression","Cupertino","","","https://maps.google.com/?cid=11238984376750927606&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Szechuan Impression","Cupertino","","","https://maps.google.com/?cid=82703266602620628&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Dumpling Time","Cupertino","","","https://maps.google.com/?cid=13592861810382474561&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Hankow Cuisine","Cupertino","","","https://maps.google.com/?cid=17703929780222793506&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Spicy Hunan","Cupertino","","","https://maps.google.com/?cid=49851370865930763&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Shanghai Garden","Cupertino","","","https://maps.google.com/?cid=61433347213058157&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Tai Pan","San Jose","","","https://maps.google.com/?cid=11627248370784549532&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Ox 9 Lanzhou","San Jose","","","https://maps.google.com/?cid=16334980232666202551&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Liang's Village","Cupertino","","","https://maps.google.com/?cid=14027414944527759673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Din Tai Fung","Santa Clara","","","https://maps.google.com/?cid=7132855764854828453&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Chef Chu's","Cupertino","","","https://maps.google.com/?cid=17454485628686535956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Beijing Restaurant","Cupertino","","","https://maps.google.com/?cid=521289058637615170&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Fu Lam Mum","Sunnyvale","","","https://maps.google.com/?cid=12998691100253894830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Cooking Papa","Sunnyvale","Cooking Cooking","2830 Homestead Rd, Santa Clara, CA 95051, USA","",unresolved,"No place found"
"Sichuan Impression","Sunnyvale","","","https://maps.google.com/?cid=9779893004379815837&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Ma's Restaurant","Sunnyvale","","","https://maps.google.com/?cid=13719476850134619684&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Din Ding Dumpling House","Sunnyvale","","","https://maps.google.com/?cid=12948171144405090010&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Spicy Dragon","Sunnyvale","","","https://maps.google.com/?cid=2669183938234488538&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Taste of China","Sunnyvale","","","https://maps.google.com/?cid=2405250536527016042&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
