name,city,chosenPlaceName,chosenAddress,googleMapsUri,enrichStatus,enrichNote
"Haidilao Hot Pot","Cupertino","","","https://maps.google.com/?cid=17225006891827036344&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Boiling Point","Cupertino","","","https://maps.google.com/?cid=14553354275534476299&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Boiling Point","Sunnyvale","","","https://maps.google.com/?cid=17978519404462004208&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Ramen Nagi","Santa Clara","","","https://maps.google.com/?cid=12016608336662691409&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Pho Kim Long","San Jose","","","https://maps.google.com/?cid=979837071589655431&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"The X Pot","Cupertino","","","https://maps.google.com/?cid=779251731710218125&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Shabu Shabu","Cupertino","","","https://maps.google.com/?cid=14469316001235899223&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Hunan Home's Restaurant","Sunnyvale","","","https://maps.google.com/?cid=2001400505120045495&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Korean Palace","Santa Clara","","","https://maps.google.com/?cid=16540445326742344481&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Dan Izakaya","Mountain View","","","https://maps.google.com/?cid=10980501859902332802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Izakaya Toribar","San Jose","","","https://maps.google.com/?cid=13146463620067887994&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Kura Sushi","San Jose","","","https://maps.google.com/?cid=5421002651339749079&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"Sanraku","San Jose","","","https://maps.google.com/?cid=11556162529597615332&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
"La Victoria Taqueria","San Jose","","","https://maps.google.com/?cid=3375830997583788937&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",ok,""
