name,city,chosenPlaceName,chosenAddress,googleMapsUri,rating,userRatingCount,enrichStatus,enrichNote
"MoonTea","Cupertino","","","https://maps.google.com/?cid=429064139352617475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.4,116,ok,""
"CHICHA San Chen","Cupertino","","","https://maps.google.com/?cid=17319959344263699155&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.6,1332,ok,""
"Molly Tea","Cupertino","","","https://maps.google.com/?cid=4246966064457524818&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.4,78,ok,""
"The X Pot","Cupertino","","","https://maps.google.com/?cid=779251731710218125&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",5,61,ok,""
"Haidilao Hot Pot","Cupertino","","","https://maps.google.com/?cid=17225006891827036344&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.8,5013,ok,""
"Seapot","San Jose","Seapot Hot Pot & Bar","740 E El Camino Real, Sunnyvale, CA 94087, USA","https://maps.google.com/?cid=4113653632369236341&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.2,915,ok,""
"Ox 9 Lanzhou","San Jose","","","https://maps.google.com/?cid=16334980232666202551&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",3,57,ok,""
"Chong Qing Xiao Mian","San Jose","Liukoushui Chongqing Noodles 流口水重庆小面 /汤小福麻辣烫","19052 Stevens Creek Blvd, Cupertino, CA 95014, USA","",,,unresolved,"No place found"
"Dough Zone","San Jose","Dough Zone Dumpling House South San Jose","5130 Cherry Ave #30, San Jose, CA 95118, USA","https://maps.google.com/?cid=4088878721991977844&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.3,234,ok,""
"Marufuku Ramen","Santa Clara","Marufuku Ramen Cupertino","19772 Stevens Creek Blvd, Cupertino, CA 95014, USA","https://maps.google.com/?cid=18063426564679428233&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.5,432,ok,""
"Ramen Nagi","Santa Clara","","","https://maps.google.com/?cid=12016608336662691409&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.5,1893,ok,""
"Superhot Hotpot & Korean BBQ","San Jose","Superhot Hot Pot & Korean BBQ","210 Hope St, Mountain View, CA 94041, USA","",,,unresolved,"No place found"
"Urban Ritual","Sunnyvale","","","https://maps.google.com/?cid=8551811436436859187&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.4,243,ok,""
"Mumu Hot Pot","Sunnyvale","","","https://maps.google.com/?cid=10856563812436804720&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.4,542,ok,""
"Revopot","San Jose","","","https://maps.google.com/?cid=18390449101450702810&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.3,47,ok,""
"Chubby Cattle","Santa Clara","","","https://maps.google.com/?cid=16922588241686818179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",5,3,ok,""
"Kura Revolving Sushi Bar","Cupertino","","","https://maps.google.com/?cid=18256545463827206755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.2,2503,ok,""
"BB.Q Chicken","Sunnyvale","","","https://maps.google.com/?cid=9142817278285628581&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.2,266,ok,""
"Paik's Noodle","Santa Clara","","","https://maps.google.com/?cid=7556419611024436038&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.4,1591,ok,""
"Tang Bar","San Jose","","","https://maps.google.com/?cid=14720701547979394009&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.2,420,ok,""
"Yomie’s Rice x Yogurt","San Jose","","","https://maps.google.com/?cid=9509520499442254659&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.3,76,ok,""
"Nene Chicken","Santa Clara","","","https://maps.google.com/?cid=15206013397346982202&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.2,273,ok,""
"CHAGEE","Sunnyvale","","","https://maps.google.com/?cid=10941418055593628614&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",4.2,258,ok,""
